row ID,Cluster,SlogP,SMR,LabuteASA,TPSA,AMW,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3
Row1547,Non-binders,1.2674,68.73,107.1878204,40.62,246.31,0,2,2,4,18,36,0,0,2,1,1,1,0,1,1,1,0,0,0.428571429,10.63320902,6.222702554,4.654246611,3.185824085,2.100632971,6.222702554,4.654246611,3.185824085,2.100632971,-1.84,12.61261654,5.666939784,3.092500161
Row1548,Non-binders,0.7662,57.8914,93.01207547,80.32,223.232,2,4,2,6,16,29,0,0,1,1,0,0,1,0,0,0,0,0,0.3,8.895573106,4.765015676,2.985582504,1.61710055,0.961426732,4.765015676,2.985582504,1.61710055,0.961426732,-2.11,11.96199424,6.387888507,4.942860059
Row1549,Non-binders,1.6813,65.1254,100.6699649,77.57,235.287,1,4,0,5,17,34,0,0,1,1,0,0,1,0,0,0,0,0,0.416666667,10.3047819,5.330692012,4.892237832,1.84780198,1.126409645,5.330692012,4.892237832,1.84780198,1.126409645,-1.91,13.15626905,5.427966101,5.102743302
Row1550,Non-binders,2.2352,58.7465,92.81360107,58.56,229.663,2,3,0,5,15,27,0,0,1,1,0,0,0,0,0,1,0,0,0.3,9.043867965,4.802190741,3.323492103,2.15743216,1.255293488,4.424226268,2.916291977,1.827843939,1.070929626,-1.42,11.6536377,5.458332887,3.673047981
Row1551,Non-binders,-0.701,53.8234,87.23604131,86.39,211.225,1,7,0,7,15,28,0,0,2,1,1,1,1,1,1,0,0,0,0.625,8.511128357,4.676100956,3.079728012,2.09688732,1.3570554,4.676100956,3.079728012,2.09688732,1.3570554,-1.63,9.907344628,4.262176081,2.239835657
Row1552,Non-binders,0.8966,41.7794,76.29730325,83.14,205.008,2,4,0,8,12,14,0,0,2,2,0,0,2,0,0,0,0,0,0,7.05664122,3.672747801,2.62887665,1.607846225,0.995076436,2.916818855,1.912850475,1.175293404,0.708194978,-1.14,7.506098809,2.72288449,1.14545623
Row1553,Non-binders,0.98004,52.2485,82.20102769,75.11,195.222,2,4,0,5,14,27,0,0,1,1,0,0,1,0,0,0,0,0,0.444444444,8.241452909,4.356615184,3.044829156,1.604263575,1.086235472,4.356615184,3.044829156,1.604263575,1.086235472,-1.65,10.43097166,4.548215638,3.384761384
Row1554,Non-binders,2.0086,74.9495,109.8139806,35.5,248.37,2,3,0,3,18,42,1,0,2,1,1,1,0,1,1,1,0,0,0.6,11.23092601,7.019891958,5.118041132,3.678701256,2.563967908,7.019891958,5.118041132,3.678701256,2.563967908,-1.06,13.37350248,6.760871551,3.718975707
Row1555,Non-binders,1.9119,60.1022,97.66296205,70.92,242.662,2,4,0,6,16,27,0,0,1,1,0,0,0,0,0,1,0,0,0.2,9.361325049,4.963164514,3.205536336,1.894188142,1.086454775,4.585200041,2.769100556,1.642211827,0.960466618,-1.59,12.47939625,6.093471214,3.524599179
Row1556,Non-binders,2.7568,55.3857,83.8132969,32.86,211.673,1,2,0,4,13,19,0,0,2,2,0,0,1,0,0,1,0,0,0,8.153637927,4.950592411,3.847359012,2.597439497,1.765751802,3.692975127,2.568727898,1.675771544,1.050983932,-1.06,8.534349381,3.358498923,1.81643187
